Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_RemoveOutliers;Job_Affinity;Job_Jit;Job_Platform;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_RetainVm;Job_Server;Job_Clock;Job_EngineFactory;Job_Toolchain;Job_InvocationCount;Job_IterationTime;Job_LaunchCount;Job_RunStrategy;Job_TargetCount;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;1;297300;2000;148.65;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;2;9900;2000;4.95;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;3;5000;2000;2.5;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;4;4900;2000;2.45;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;5;4900;2000;2.45;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;6;4900;2000;2.45;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;7;4800;2000;2.4;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleWarmup;8;5000;2000;2.5;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;1;5000;2000;2.5;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;2;5000;2000;2.5;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;3;4900;2000;2.45;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;4;4800;2000;2.4;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;5;4900;2000;2.45;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;6;5000;2000;2.5;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;7;5000;2000;2.5;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;8;5000;2000;2.5;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;9;4900;2000;2.45;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;10;4800;2000;2.4;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;11;4900;2000;2.45;0;0;0;2017
FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark.ObservableCollection_BashInsert;Catel.Benchmarks.MVVM.Collections;FastObservableCollectionVsObservableCollectionVsFastBindingListBenchmark;ObservableCollection_BashInsert;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;2000;Default;2;Throughput;5;Default;2;"Job-QDCEMC(InvocationCount=2000, LaunchCount=2, RunStrategy=Throughput, TargetCount=5, WarmupCount=2)";;1;IdleTarget;12;4900;2000;2.45;0;0;0;2017
